iter	Passed	Remaining
0	0	97
1	1	84
2	2	77
3	2	70
4	3	69
5	4	67
6	5	66
7	5	65
8	6	65
9	9	86
10	10	85
11	11	82
12	11	80
13	12	78
14	13	76
15	14	75
16	15	74
17	16	73
18	16	71
19	17	70
20	18	68
21	18	67
22	19	65
23	20	64
24	20	62
25	24	68
26	25	68
27	26	67
28	26	65
29	27	64
30	28	62
31	28	61
32	29	60
33	30	58
34	31	57
35	31	56
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	35	47
43	37	47
44	39	47
45	40	47
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	53	32
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	66	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
