iter	Passed	Remaining
0	161	161685
1	163	81619
2	164	54795
3	166	41343
4	167	33325
5	169	28048
6	174	24803
7	176	21877
8	179	19817
9	181	17968
10	183	16466
11	186	15328
12	189	14388
13	191	13475
14	192	12662
15	194	11951
16	195	11322
17	197	10770
18	199	10274
19	203	9960
20	204	9547
21	206	9172
22	207	8831
23	209	8514
24	211	8231
25	212	7960
26	217	7824
27	219	7605
28	224	7524
29	226	7313
30	230	7200
31	233	7065
32	235	6890
33	236	6732
34	238	6577
35	240	6431
36	241	6289
37	248	6283
38	249	6152
39	253	6076
40	254	5959
41	256	5848
42	259	5785
43	263	5723
44	265	5630
45	266	5534
46	268	5441
47	278	5532
48	280	5443
49	281	5351
50	283	5268
51	284	5190
52	286	5115
53	287	5038
54	293	5046
55	294	4971
56	296	4903
57	297	4839
58	347	5546
59	349	5470
60	350	5396
61	352	5326
62	353	5260
63	355	5200
64	363	5222
65	365	5170
66	366	5109
67	369	5069
68	371	5018
69	374	4981
70	377	4942
71	379	4888
72	380	4835
73	382	4786
74	385	4748
75	387	4712
76	388	4662
77	390	4614
78	391	4569
79	393	4530
80	402	4564
81	403	4521
82	404	4470
83	406	4436
84	409	4402
85	410	4361
86	414	4344
87	415	4307
88	417	4271
89	420	4249
90	422	4218
91	426	4208
92	437	4264
93	476	4588
94	479	4566
95	481	4532
96	483	4503
97	486	4476
98	490	4460
99	493	4441
100	495	4408
101	511	4500
102	513	4469
103	519	4477
104	524	4473
105	527	4449
106	534	4458
107	538	4448
108	541	4423
109	544	4402
110	546	4373
111	547	4343
112	549	4313
113	551	4285
114	556	4284
115	558	4256
116	564	4259
117	566	4236
118	572	4236
119	573	4207
120	575	4179
121	576	4149
122	578	4123
123	580	4099
124	582	4080
125	588	4080
126	589	4050
127	594	4052
128	596	4028
129	598	4004
130	606	4023
131	608	3999
132	610	3977
133	611	3953
134	613	3929
135	620	3939
136	621	3915
137	623	3892
138	625	3872
139	629	3865
140	630	3842
141	633	3825
142	635	3807
143	636	3785
144	645	3804
